sample_id,style,generator_prompt,message,tags,best_tag,best_rate,response
1,utility,"You are a marketing copywriter for a shoe company. Your job is to write SMS marketing messages to promote a product.

You will be given:
1. A PRODUCT_DESCRIPTION with details about the shoe
2. A MARKETING_STYLE to use

Generate a single SMS marketing message (under 160 characters) that promotes the shoe using the specified style.

RULES:
- Keep it under 160 characters
- Be creative and vary your messages
- You may include any details from the product description that fit your style
- Do not use hashtags
- Include the shoe name ""Kinetic"" somewhere in the message

PRODUCT_DESCRIPTION:
THE KINETIC - Performance Running Shoe

The Kinetic is our flagship running shoe designed for athletes who demand the best. Engineered with a responsive foam midsole and carbon-fiber plate, it delivers explosive energy return with every stride.

KEY FEATURES:
- Ultra-lightweight at just 7.2 oz
- Breathable mesh upper for all-day comfort
- Durable rubber outsole with 500+ mile lifespan
- Responsive cushioning reduces fatigue by 23%
- Carbon-neutral manufacturing process.

POPULARITY:
- 50,000+ pairs sold in 2024
- 4.8/5 star rating from verified buyers
- Worn by 12 Olympic athletes

PRICING:
- Regular price: $189
- SALE PRICE: $149 (save $40!)
- Limited time offer

MATERIALS:
- The upper is constructed with our proprietary AirMesh technology.
- The midsole uses recycled ocean plastics, inline with our sustainability initiative.
- The outsole features high-grip Continental rubber.

Available in 12 colors. Free shipping on orders over $100.

MARKETING STYLE:
Focus on performance benefits and what the shoe helps you do. Eg run faster, train harder, go the distance, explosive energy, lightweight speed.

Output ONLY the SMS message text, nothing else.","Unleash your speed with the Kinetic! Ultra-lightweight, explosive energy return, and built for endurance. Get yours now for $149—limited time only!","utility,urgency,value",utility,0.07,not_interested
2,social_proof,"You are a marketing copywriter for a shoe company. Your job is to write SMS marketing messages to promote a product.

You will be given:
1. A PRODUCT_DESCRIPTION with details about the shoe
2. A MARKETING_STYLE to use

Generate a single SMS marketing message (under 160 characters) that promotes the shoe using the specified style.

RULES:
- Keep it under 160 characters
- Be creative and vary your messages
- You may include any details from the product description that fit your style
- Do not use hashtags
- Include the shoe name ""Kinetic"" somewhere in the message

PRODUCT_DESCRIPTION:
THE KINETIC - Performance Running Shoe

The Kinetic is our flagship running shoe designed for athletes who demand the best. Engineered with a responsive foam midsole and carbon-fiber plate, it delivers explosive energy return with every stride.

KEY FEATURES:
- Ultra-lightweight at just 7.2 oz
- Breathable mesh upper for all-day comfort
- Durable rubber outsole with 500+ mile lifespan
- Responsive cushioning reduces fatigue by 23%
- Carbon-neutral manufacturing process.

POPULARITY:
- 50,000+ pairs sold in 2024
- 4.8/5 star rating from verified buyers
- Worn by 12 Olympic athletes

PRICING:
- Regular price: $189
- SALE PRICE: $149 (save $40!)
- Limited time offer

MATERIALS:
- The upper is constructed with our proprietary AirMesh technology.
- The midsole uses recycled ocean plastics, inline with our sustainability initiative.
- The outsole features high-grip Continental rubber.

Available in 12 colors. Free shipping on orders over $100.

MARKETING STYLE:
Focus on popularity and what others are doing. Eg join thousands of athletes, best-seller, top-rated, Olympic athletes wear it

Output ONLY the SMS message text, nothing else.","Join 50,000+ runners and elevate your game with the Kinetic! Top-rated comfort, Olympic-approved. Now just $149! Don't miss out!","social_proof,urgency,value",social_proof,0.07,not_interested
3,utility,"You are a marketing copywriter for a shoe company. Your job is to write SMS marketing messages to promote a product.

You will be given:
1. A PRODUCT_DESCRIPTION with details about the shoe
2. A MARKETING_STYLE to use

Generate a single SMS marketing message (under 160 characters) that promotes the shoe using the specified style.

RULES:
- Keep it under 160 characters
- Be creative and vary your messages
- You may include any details from the product description that fit your style
- Do not use hashtags
- Include the shoe name ""Kinetic"" somewhere in the message

PRODUCT_DESCRIPTION:
THE KINETIC - Performance Running Shoe

The Kinetic is our flagship running shoe designed for athletes who demand the best. Engineered with a responsive foam midsole and carbon-fiber plate, it delivers explosive energy return with every stride.

KEY FEATURES:
- Ultra-lightweight at just 7.2 oz
- Breathable mesh upper for all-day comfort
- Durable rubber outsole with 500+ mile lifespan
- Responsive cushioning reduces fatigue by 23%
- Carbon-neutral manufacturing process.

POPULARITY:
- 50,000+ pairs sold in 2024
- 4.8/5 star rating from verified buyers
- Worn by 12 Olympic athletes

PRICING:
- Regular price: $189
- SALE PRICE: $149 (save $40!)
- Limited time offer

MATERIALS:
- The upper is constructed with our proprietary AirMesh technology.
- The midsole uses recycled ocean plastics, inline with our sustainability initiative.
- The outsole features high-grip Continental rubber.

Available in 12 colors. Free shipping on orders over $100.

MARKETING STYLE:
Focus on performance benefits and what the shoe helps you do. Eg run faster, train harder, go the distance, explosive energy, lightweight speed.

Output ONLY the SMS message text, nothing else.","Unleash your potential with the Kinetic! Ultra-lightweight, explosive energy return, and unbeatable comfort for your best run yet. Now just $149!","utility,value",utility,0.07,not_interested
4,utility,"You are a marketing copywriter for a shoe company. Your job is to write SMS marketing messages to promote a product.

You will be given:
1. A PRODUCT_DESCRIPTION with details about the shoe
2. A MARKETING_STYLE to use

Generate a single SMS marketing message (under 160 characters) that promotes the shoe using the specified style.

RULES:
- Keep it under 160 characters
- Be creative and vary your messages
- You may include any details from the product description that fit your style
- Do not use hashtags
- Include the shoe name ""Kinetic"" somewhere in the message

PRODUCT_DESCRIPTION:
THE KINETIC - Performance Running Shoe

The Kinetic is our flagship running shoe designed for athletes who demand the best. Engineered with a responsive foam midsole and carbon-fiber plate, it delivers explosive energy return with every stride.

KEY FEATURES:
- Ultra-lightweight at just 7.2 oz
- Breathable mesh upper for all-day comfort
- Durable rubber outsole with 500+ mile lifespan
- Responsive cushioning reduces fatigue by 23%
- Carbon-neutral manufacturing process.

POPULARITY:
- 50,000+ pairs sold in 2024
- 4.8/5 star rating from verified buyers
- Worn by 12 Olympic athletes

PRICING:
- Regular price: $189
- SALE PRICE: $149 (save $40!)
- Limited time offer

MATERIALS:
- The upper is constructed with our proprietary AirMesh technology.
- The midsole uses recycled ocean plastics, inline with our sustainability initiative.
- The outsole features high-grip Continental rubber.

Available in 12 colors. Free shipping on orders over $100.

MARKETING STYLE:
Focus on performance benefits and what the shoe helps you do. Eg run faster, train harder, go the distance, explosive energy, lightweight speed.

Output ONLY the SMS message text, nothing else.","Unleash your speed with the Kinetic! Ultra-light, responsive, and built for performance. Grab yours now at $149 and feel the explosive energy!","utility,value",utility,0.07,not_interested
5,urgency,"You are a marketing copywriter for a shoe company. Your job is to write SMS marketing messages to promote a product.

You will be given:
1. A PRODUCT_DESCRIPTION with details about the shoe
2. A MARKETING_STYLE to use

Generate a single SMS marketing message (under 160 characters) that promotes the shoe using the specified style.

RULES:
- Keep it under 160 characters
- Be creative and vary your messages
- You may include any details from the product description that fit your style
- Do not use hashtags
- Include the shoe name ""Kinetic"" somewhere in the message

PRODUCT_DESCRIPTION:
THE KINETIC - Performance Running Shoe

The Kinetic is our flagship running shoe designed for athletes who demand the best. Engineered with a responsive foam midsole and carbon-fiber plate, it delivers explosive energy return with every stride.

KEY FEATURES:
- Ultra-lightweight at just 7.2 oz
- Breathable mesh upper for all-day comfort
- Durable rubber outsole with 500+ mile lifespan
- Responsive cushioning reduces fatigue by 23%
- Carbon-neutral manufacturing process.

POPULARITY:
- 50,000+ pairs sold in 2024
- 4.8/5 star rating from verified buyers
- Worn by 12 Olympic athletes

PRICING:
- Regular price: $189
- SALE PRICE: $149 (save $40!)
- Limited time offer

MATERIALS:
- The upper is constructed with our proprietary AirMesh technology.
- The midsole uses recycled ocean plastics, inline with our sustainability initiative.
- The outsole features high-grip Continental rubber.

Available in 12 colors. Free shipping on orders over $100.

MARKETING STYLE:
Focus on scarcity and time pressure. Eg limited stock, sale ending soon, last chance, only X left, don't miss out

Output ONLY the SMS message text, nothing else.","Don’t miss your chance! Grab the Kinetic running shoe at just $149—limited time only! Ultra-lightweight, responsive, and eco-friendly. Act fast!","urgency,value,sustainability,utility",sustainability,0.1,not_interested
6,urgency,"You are a marketing copywriter for a shoe company. Your job is to write SMS marketing messages to promote a product.

You will be given:
1. A PRODUCT_DESCRIPTION with details about the shoe
2. A MARKETING_STYLE to use

Generate a single SMS marketing message (under 160 characters) that promotes the shoe using the specified style.

RULES:
- Keep it under 160 characters
- Be creative and vary your messages
- You may include any details from the product description that fit your style
- Do not use hashtags
- Include the shoe name ""Kinetic"" somewhere in the message

PRODUCT_DESCRIPTION:
THE KINETIC - Performance Running Shoe

The Kinetic is our flagship running shoe designed for athletes who demand the best. Engineered with a responsive foam midsole and carbon-fiber plate, it delivers explosive energy return with every stride.

KEY FEATURES:
- Ultra-lightweight at just 7.2 oz
- Breathable mesh upper for all-day comfort
- Durable rubber outsole with 500+ mile lifespan
- Responsive cushioning reduces fatigue by 23%
- Carbon-neutral manufacturing process.

POPULARITY:
- 50,000+ pairs sold in 2024
- 4.8/5 star rating from verified buyers
- Worn by 12 Olympic athletes

PRICING:
- Regular price: $189
- SALE PRICE: $149 (save $40!)
- Limited time offer

MATERIALS:
- The upper is constructed with our proprietary AirMesh technology.
- The midsole uses recycled ocean plastics, inline with our sustainability initiative.
- The outsole features high-grip Continental rubber.

Available in 12 colors. Free shipping on orders over $100.

MARKETING STYLE:
Focus on scarcity and time pressure. Eg limited stock, sale ending soon, last chance, only X left, don't miss out

Output ONLY the SMS message text, nothing else.",Last chance! Grab the Kinetic running shoe for just $149—saving you $40! Limited stock available. Don’t miss out on this elite performance!,"urgency,value,utility",urgency,0.07,not_interested
7,urgency,"You are a marketing copywriter for a shoe company. Your job is to write SMS marketing messages to promote a product.

You will be given:
1. A PRODUCT_DESCRIPTION with details about the shoe
2. A MARKETING_STYLE to use

Generate a single SMS marketing message (under 160 characters) that promotes the shoe using the specified style.

RULES:
- Keep it under 160 characters
- Be creative and vary your messages
- You may include any details from the product description that fit your style
- Do not use hashtags
- Include the shoe name ""Kinetic"" somewhere in the message

PRODUCT_DESCRIPTION:
THE KINETIC - Performance Running Shoe

The Kinetic is our flagship running shoe designed for athletes who demand the best. Engineered with a responsive foam midsole and carbon-fiber plate, it delivers explosive energy return with every stride.

KEY FEATURES:
- Ultra-lightweight at just 7.2 oz
- Breathable mesh upper for all-day comfort
- Durable rubber outsole with 500+ mile lifespan
- Responsive cushioning reduces fatigue by 23%
- Carbon-neutral manufacturing process.

POPULARITY:
- 50,000+ pairs sold in 2024
- 4.8/5 star rating from verified buyers
- Worn by 12 Olympic athletes

PRICING:
- Regular price: $189
- SALE PRICE: $149 (save $40!)
- Limited time offer

MATERIALS:
- The upper is constructed with our proprietary AirMesh technology.
- The midsole uses recycled ocean plastics, inline with our sustainability initiative.
- The outsole features high-grip Continental rubber.

Available in 12 colors. Free shipping on orders over $100.

MARKETING STYLE:
Focus on scarcity and time pressure. Eg limited stock, sale ending soon, last chance, only X left, don't miss out

Output ONLY the SMS message text, nothing else.",Last chance! Grab the Kinetic running shoes at just $149. Only a few pairs left! Don't miss out on this explosive offer—shop now!,"urgency,value",urgency,0.07,not_interested
8,urgency,"You are a marketing copywriter for a shoe company. Your job is to write SMS marketing messages to promote a product.

You will be given:
1. A PRODUCT_DESCRIPTION with details about the shoe
2. A MARKETING_STYLE to use

Generate a single SMS marketing message (under 160 characters) that promotes the shoe using the specified style.

RULES:
- Keep it under 160 characters
- Be creative and vary your messages
- You may include any details from the product description that fit your style
- Do not use hashtags
- Include the shoe name ""Kinetic"" somewhere in the message

PRODUCT_DESCRIPTION:
THE KINETIC - Performance Running Shoe

The Kinetic is our flagship running shoe designed for athletes who demand the best. Engineered with a responsive foam midsole and carbon-fiber plate, it delivers explosive energy return with every stride.

KEY FEATURES:
- Ultra-lightweight at just 7.2 oz
- Breathable mesh upper for all-day comfort
- Durable rubber outsole with 500+ mile lifespan
- Responsive cushioning reduces fatigue by 23%
- Carbon-neutral manufacturing process.

POPULARITY:
- 50,000+ pairs sold in 2024
- 4.8/5 star rating from verified buyers
- Worn by 12 Olympic athletes

PRICING:
- Regular price: $189
- SALE PRICE: $149 (save $40!)
- Limited time offer

MATERIALS:
- The upper is constructed with our proprietary AirMesh technology.
- The midsole uses recycled ocean plastics, inline with our sustainability initiative.
- The outsole features high-grip Continental rubber.

Available in 12 colors. Free shipping on orders over $100.

MARKETING STYLE:
Focus on scarcity and time pressure. Eg limited stock, sale ending soon, last chance, only X left, don't miss out

Output ONLY the SMS message text, nothing else.","Sprint into savings! The Kinetic is on sale for just $149, but hurry—this limited-time offer won't last! Get yours before they're gone!","urgency,value",urgency,0.07,not_interested
9,value,"You are a marketing copywriter for a shoe company. Your job is to write SMS marketing messages to promote a product.

You will be given:
1. A PRODUCT_DESCRIPTION with details about the shoe
2. A MARKETING_STYLE to use

Generate a single SMS marketing message (under 160 characters) that promotes the shoe using the specified style.

RULES:
- Keep it under 160 characters
- Be creative and vary your messages
- You may include any details from the product description that fit your style
- Do not use hashtags
- Include the shoe name ""Kinetic"" somewhere in the message

PRODUCT_DESCRIPTION:
THE KINETIC - Performance Running Shoe

The Kinetic is our flagship running shoe designed for athletes who demand the best. Engineered with a responsive foam midsole and carbon-fiber plate, it delivers explosive energy return with every stride.

KEY FEATURES:
- Ultra-lightweight at just 7.2 oz
- Breathable mesh upper for all-day comfort
- Durable rubber outsole with 500+ mile lifespan
- Responsive cushioning reduces fatigue by 23%
- Carbon-neutral manufacturing process.

POPULARITY:
- 50,000+ pairs sold in 2024
- 4.8/5 star rating from verified buyers
- Worn by 12 Olympic athletes

PRICING:
- Regular price: $189
- SALE PRICE: $149 (save $40!)
- Limited time offer

MATERIALS:
- The upper is constructed with our proprietary AirMesh technology.
- The midsole uses recycled ocean plastics, inline with our sustainability initiative.
- The outsole features high-grip Continental rubber.

Available in 12 colors. Free shipping on orders over $100.

MARKETING STYLE:
Focus on the deal and savings. Eg save $40, best price of the year, unbeatable deal, limited time price

Output ONLY the SMS message text, nothing else.",Get ready to run! Grab the Kinetic for just $149 (save $40)! Limited time only. Unleash speed & comfort now! Free shipping on orders over $100!,"value,urgency",value,0.07,not_interested
10,urgency,"You are a marketing copywriter for a shoe company. Your job is to write SMS marketing messages to promote a product.

You will be given:
1. A PRODUCT_DESCRIPTION with details about the shoe
2. A MARKETING_STYLE to use

Generate a single SMS marketing message (under 160 characters) that promotes the shoe using the specified style.

RULES:
- Keep it under 160 characters
- Be creative and vary your messages
- You may include any details from the product description that fit your style
- Do not use hashtags
- Include the shoe name ""Kinetic"" somewhere in the message

PRODUCT_DESCRIPTION:
THE KINETIC - Performance Running Shoe

The Kinetic is our flagship running shoe designed for athletes who demand the best. Engineered with a responsive foam midsole and carbon-fiber plate, it delivers explosive energy return with every stride.

KEY FEATURES:
- Ultra-lightweight at just 7.2 oz
- Breathable mesh upper for all-day comfort
- Durable rubber outsole with 500+ mile lifespan
- Responsive cushioning reduces fatigue by 23%
- Carbon-neutral manufacturing process.

POPULARITY:
- 50,000+ pairs sold in 2024
- 4.8/5 star rating from verified buyers
- Worn by 12 Olympic athletes

PRICING:
- Regular price: $189
- SALE PRICE: $149 (save $40!)
- Limited time offer

MATERIALS:
- The upper is constructed with our proprietary AirMesh technology.
- The midsole uses recycled ocean plastics, inline with our sustainability initiative.
- The outsole features high-grip Continental rubber.

Available in 12 colors. Free shipping on orders over $100.

MARKETING STYLE:
Focus on scarcity and time pressure. Eg limited stock, sale ending soon, last chance, only X left, don't miss out

Output ONLY the SMS message text, nothing else.","Don't miss out! Get the Kinetic performance running shoe at just $149—limited time only! 50,000 pairs sold! Grab yours before they’re gone!","urgency,value,social_proof",urgency,0.07,not_interested
